[INFO]: ..........................START........................
[INFO]: ..........................START........................
[INFO]: Candle:2023-06-09 10:07:00 , Open:18664.5 , High:18665.3 , Low:18659.7 , Close:18662.15
[INFO]: 2023-06-09 10:08:00.610661-------------built NIFTY15JUN2318650PE short position
[INFO]: 2023-06-09 10:08:00.610661-------------built NIFTY15JUN2318650CE short position 
[INFO]: 2023-06-09 10:08:00.610661-------------built NIFTY15JUN2318700PE short position
[INFO]: 2023-06-09 10:08:00.610661-------------built NIFTY15JUN2318700CE short position 
[INFO]: lt:[18650, 18700]
[INFO]: Candle:2023-06-09 10:08:00 , Open:18662.1 , High:18664.05 , Low:18661.4 , Close:18663.5
[INFO]: Candle:2023-06-09 10:09:00 , Open:18662.65 , High:18663.45 , Low:18658.45 , Close:18660.25
[INFO]: Candle:2023-06-09 10:10:00 , Open:18660.7 , High:18661.25 , Low:18655.85 , Close:18656.15
[INFO]: Candle:2023-06-09 10:11:00 , Open:18656.35 , High:18656.85 , Low:18649.3 , Close:18649.65
[INFO]: Candle:2023-06-09 10:12:00 , Open:18650.2 , High:18650.65 , Low:18636.6 , Close:18637.85
[INFO]: 2023-06-09 10:13:00.539257 shift straddle downward---------------------closed NIFTY15JUN2318700PE short position @107.95
[INFO]: 2023-06-09 10:13:00.539257 shift straddle downward---------------------closed NIFTY15JUN2318700CE short position @62.8
[INFO]: 2023-06-09 10:13:00.539257-------------built NIFTY15JUN2318600PE short position 
[INFO]: 2023-06-09 10:13:00.539257-------------built NIFTY15JUN2318600CE short position
[INFO]: lt:[18600, 18650]
[INFO]: Candle:2023-06-09 10:13:00 , Open:18637.05 , High:18638.1 , Low:18633.65 , Close:18637.8
[INFO]: Candle:2023-06-09 10:14:00 , Open:18637.05 , High:18643.8 , Low:18636.0 , Close:18641.2
[INFO]: Candle:2023-06-09 10:15:00 , Open:18640.4 , High:18641.8 , Low:18638.8 , Close:18639.7
[INFO]: Candle:2023-06-09 10:16:00 , Open:18639.25 , High:18639.85 , Low:18636.6 , Close:18637.65
[INFO]: Candle:2023-06-09 10:17:00 , Open:18637.55 , High:18639.05 , Low:18636.15 , Close:18636.4
[INFO]: Candle:2023-06-09 10:18:00 , Open:18636.75 , High:18637.9 , Low:18635.1 , Close:18635.45
[INFO]: Candle:2023-06-09 10:19:00 , Open:18635.4 , High:18635.95 , Low:18628.55 , Close:18628.8
[INFO]: Candle:2023-06-09 10:20:00 , Open:18628.65 , High:18630.8 , Low:18625.2 , Close:18625.85
[INFO]: Candle:2023-06-09 10:21:00 , Open:18626.7 , High:18632.9 , Low:18625.7 , Close:18630.1
[INFO]: Candle:2023-06-09 10:22:00 , Open:18630.2 , High:18631.8 , Low:18628.85 , Close:18631.55
[INFO]: Candle:2023-06-09 10:23:00 , Open:18631.4 , High:18632.2 , Low:18629.8 , Close:18630.3
[INFO]: Candle:2023-06-09 10:24:00 , Open:18630.6 , High:18630.6 , Low:18628.05 , Close:18628.85
[INFO]: Candle:2023-06-09 10:25:00 , Open:18629.6 , High:18631.85 , Low:18628.35 , Close:18631.35
[INFO]: Candle:2023-06-09 10:26:00 , Open:18632.45 , High:18638.15 , Low:18632.05 , Close:18637.1
[INFO]: Candle:2023-06-09 10:27:00 , Open:18637.7 , High:18637.7 , Low:18628.65 , Close:18629.05
[INFO]: Candle:2023-06-09 10:28:00 , Open:18628.65 , High:18629.3 , Low:18625.2 , Close:18625.2
[INFO]: Candle:2023-06-09 10:29:00 , Open:18624.2 , High:18624.9 , Low:18619.65 , Close:18619.65
[INFO]: Candle:2023-06-09 10:30:00 , Open:18619.7 , High:18622.25 , Low:18618.15 , Close:18618.8
[INFO]: Candle:2023-06-09 10:31:00 , Open:18618.85 , High:18627.2 , Low:18617.95 , Close:18625.85
[INFO]: Candle:2023-06-09 10:32:00 , Open:18626.3 , High:18628.75 , Low:18624.5 , Close:18624.5
[INFO]: Candle:2023-06-09 10:33:00 , Open:18624.9 , High:18627.35 , Low:18624.05 , Close:18626.75
[INFO]: Candle:2023-06-09 10:34:00 , Open:18627.4 , High:18629.25 , Low:18625.7 , Close:18628.2
[INFO]: Candle:2023-06-09 10:35:00 , Open:18628.45 , High:18632.6 , Low:18628.15 , Close:18632.6
[INFO]: Candle:2023-06-09 10:37:00 , Open:18632.2 , High:18635.85 , Low:18631.3 , Close:18635.6
[INFO]: Candle:2023-06-09 10:38:00 , Open:18636.25 , High:18639.25 , Low:18635.2 , Close:18636.7
[INFO]: Candle:2023-06-09 10:39:00 , Open:18636.6 , High:18637.4 , Low:18634.35 , Close:18635.2
[INFO]: Candle:2023-06-09 10:40:00 , Open:18635.3 , High:18636.65 , Low:18631.55 , Close:18633.65
[INFO]: Candle:2023-06-09 10:41:00 , Open:18633.7 , High:18635.25 , Low:18632.0 , Close:18635.25
[INFO]: Candle:2023-06-09 10:42:00 , Open:18635.25 , High:18636.15 , Low:18633.3 , Close:18633.55
[INFO]: Candle:2023-06-09 10:43:00 , Open:18633.2 , High:18634.15 , Low:18626.5 , Close:18627.0
[INFO]: Candle:2023-06-09 10:44:00 , Open:18627.45 , High:18628.05 , Low:18624.0 , Close:18627.0
[INFO]: Candle:2023-06-09 10:45:00 , Open:18626.65 , High:18627.05 , Low:18622.55 , Close:18624.05
[INFO]: Candle:2023-06-09 10:46:00 , Open:18624.3 , High:18624.3 , Low:18621.9 , Close:18622.95
[INFO]: Candle:2023-06-09 10:47:00 , Open:18622.65 , High:18622.75 , Low:18618.45 , Close:18618.65
[INFO]: Candle:2023-06-09 10:48:00 , Open:18618.8 , High:18621.9 , Low:18617.3 , Close:18621.4
[INFO]: Candle:2023-06-09 10:49:00 , Open:18622.6 , High:18626.3 , Low:18622.6 , Close:18626.25
[INFO]: Candle:2023-06-09 10:50:00 , Open:18626.2 , High:18627.3 , Low:18623.8 , Close:18623.8
[INFO]: Candle:2023-06-09 10:51:00 , Open:18623.9 , High:18625.05 , Low:18622.6 , Close:18625.05
[INFO]: Candle:2023-06-09 10:52:00 , Open:18624.8 , High:18625.55 , Low:18622.05 , Close:18622.45
[INFO]: Candle:2023-06-09 10:53:00 , Open:18622.2 , High:18622.2 , Low:18614.5 , Close:18616.3
[INFO]: Candle:2023-06-09 10:54:00 , Open:18616.6 , High:18620.9 , Low:18615.95 , Close:18619.8
[INFO]: Candle:2023-06-09 10:55:00 , Open:18620.05 , High:18623.7 , Low:18619.9 , Close:18622.45
[INFO]: Candle:2023-06-09 10:56:00 , Open:18622.65 , High:18622.85 , Low:18617.1 , Close:18617.5
[INFO]: Candle:2023-06-09 10:57:00 , Open:18617.9 , High:18617.9 , Low:18613.5 , Close:18614.35
[INFO]: Candle:2023-06-09 10:58:00 , Open:18614.15 , High:18616.55 , Low:18613.7 , Close:18616.1
[INFO]: Candle:2023-06-09 10:59:00 , Open:18614.9 , High:18615.15 , Low:18607.85 , Close:18613.05
[INFO]: Candle:2023-06-09 11:00:00 , Open:18612.95 , High:18614.65 , Low:18611.25 , Close:18611.25
[INFO]: Candle:2023-06-09 11:01:00 , Open:18610.6 , High:18610.7 , Low:18607.35 , Close:18608.85
[INFO]: Candle:2023-06-09 11:02:00 , Open:18609.85 , High:18610.65 , Low:18608.15 , Close:18608.45
[INFO]: Candle:2023-06-09 11:03:00 , Open:18608.7 , High:18609.6 , Low:18606.8 , Close:18608.35
[INFO]: Candle:2023-06-09 11:04:00 , Open:18608.15 , High:18609.3 , Low:18607.45 , Close:18608.7
[INFO]: Candle:2023-06-09 11:05:00 , Open:18609.5 , High:18610.1 , Low:18601.9 , Close:18605.0
[INFO]: Candle:2023-06-09 11:06:00 , Open:18604.95 , High:18605.8 , Low:18601.65 , Close:18602.1
[INFO]: Candle:2023-06-09 11:07:00 , Open:18601.85 , High:18603.15 , Low:18600.5 , Close:18602.25
[INFO]: Candle:2023-06-09 11:08:00 , Open:18601.7 , High:18604.7 , Low:18601.35 , Close:18604.7
[INFO]: Candle:2023-06-09 11:09:00 , Open:18605.05 , High:18610.75 , Low:18603.05 , Close:18610.6
[INFO]: Candle:2023-06-09 11:10:00 , Open:18610.55 , High:18619.55 , Low:18609.65 , Close:18616.2
[INFO]: Candle:2023-06-09 11:11:00 , Open:18616.85 , High:18617.05 , Low:18614.25 , Close:18615.4
[INFO]: Candle:2023-06-09 11:12:00 , Open:18614.95 , High:18615.5 , Low:18612.35 , Close:18612.7
[INFO]: Candle:2023-06-09 11:13:00 , Open:18613.4 , High:18613.55 , Low:18611.4 , Close:18611.75
[INFO]: Candle:2023-06-09 11:14:00 , Open:18612.55 , High:18614.05 , Low:18611.05 , Close:18612.05
[INFO]: Candle:2023-06-09 11:15:00 , Open:18612.1 , High:18619.2 , Low:18612.1 , Close:18619.2
[INFO]: Candle:2023-06-09 11:16:00 , Open:18619.25 , High:18622.75 , Low:18619.25 , Close:18622.2
[INFO]: Candle:2023-06-09 11:17:00 , Open:18622.55 , High:18623.75 , Low:18621.2 , Close:18621.85
[INFO]: Candle:2023-06-09 11:18:00 , Open:18621.3 , High:18624.05 , Low:18620.95 , Close:18623.35
[INFO]: Candle:2023-06-09 11:19:00 , Open:18623.65 , High:18624.3 , Low:18622.1 , Close:18622.95
[INFO]: Candle:2023-06-09 11:20:00 , Open:18623.1 , High:18626.1 , Low:18621.65 , Close:18624.25
[INFO]: Candle:2023-06-09 11:21:00 , Open:18624.3 , High:18627.25 , Low:18623.75 , Close:18627.15
[INFO]: Candle:2023-06-09 11:22:00 , Open:18627.7 , High:18628.1 , Low:18625.6 , Close:18627.55
[INFO]: Candle:2023-06-09 11:23:00 , Open:18627.4 , High:18629.05 , Low:18625.8 , Close:18625.8
[INFO]: Candle:2023-06-09 11:24:00 , Open:18625.5 , High:18629.05 , Low:18625.05 , Close:18627.7
[INFO]: Candle:2023-06-09 11:25:00 , Open:18628.15 , High:18629.8 , Low:18627.65 , Close:18628.2
[INFO]: Candle:2023-06-09 11:26:00 , Open:18628.45 , High:18629.4 , Low:18624.95 , Close:18627.3
[INFO]: Candle:2023-06-09 11:27:00 , Open:18627.8 , High:18628.35 , Low:18624.55 , Close:18625.15
[INFO]: Candle:2023-06-09 11:28:00 , Open:18624.25 , High:18626.1 , Low:18624.05 , Close:18624.7
[INFO]: Candle:2023-06-09 11:29:00 , Open:18624.45 , High:18626.65 , Low:18624.45 , Close:18625.45
[INFO]: Candle:2023-06-09 11:30:00 , Open:18624.9 , High:18626.55 , Low:18624.85 , Close:18625.4
[INFO]: Candle:2023-06-09 11:31:00 , Open:18625.2 , High:18629.0 , Low:18625.05 , Close:18628.95
[INFO]: Candle:2023-06-09 11:32:00 , Open:18628.4 , High:18629.95 , Low:18627.7 , Close:18628.65
[INFO]: Candle:2023-06-09 11:34:00 , Open:18628.25 , High:18628.8 , Low:18626.95 , Close:18627.75
[INFO]: Candle:2023-06-09 11:35:00 , Open:18627.25 , High:18627.75 , Low:18623.2 , Close:18623.45
[INFO]: Candle:2023-06-09 11:36:00 , Open:18623.25 , High:18623.55 , Low:18618.55 , Close:18619.65
[INFO]: Candle:2023-06-09 11:37:00 , Open:18619.4 , High:18620.7 , Low:18618.6 , Close:18619.5
[INFO]: Candle:2023-06-09 11:38:00 , Open:18619.65 , High:18621.9 , Low:18618.9 , Close:18621.05
[INFO]: Candle:2023-06-09 11:39:00 , Open:18620.95 , High:18621.65 , Low:18619.2 , Close:18619.5
[INFO]: Candle:2023-06-09 11:40:00 , Open:18619.1 , High:18624.35 , Low:18619.1 , Close:18623.95
[INFO]: Candle:2023-06-09 11:41:00 , Open:18624.2 , High:18625.25 , Low:18622.85 , Close:18624.7
[INFO]: Candle:2023-06-09 11:42:00 , Open:18624.05 , High:18624.65 , Low:18619.3 , Close:18621.2
[INFO]: Candle:2023-06-09 11:43:00 , Open:18620.9 , High:18622.4 , Low:18618.3 , Close:18620.05
[INFO]: Candle:2023-06-09 11:44:00 , Open:18620.35 , High:18625.0 , Low:18618.8 , Close:18624.2
[INFO]: Candle:2023-06-09 11:45:00 , Open:18624.2 , High:18628.3 , Low:18623.75 , Close:18627.0
[INFO]: Candle:2023-06-09 11:46:00 , Open:18626.65 , High:18630.15 , Low:18626.1 , Close:18629.4
[INFO]: Candle:2023-06-09 11:47:00 , Open:18629.8 , High:18633.3 , Low:18629.05 , Close:18632.25
[INFO]: Candle:2023-06-09 11:48:00 , Open:18632.45 , High:18634.4 , Low:18632.35 , Close:18633.45
[INFO]: Candle:2023-06-09 11:49:00 , Open:18633.25 , High:18634.65 , Low:18629.9 , Close:18629.9
[INFO]: Candle:2023-06-09 11:50:00 , Open:18629.95 , High:18632.05 , Low:18629.7 , Close:18630.85
[INFO]: Candle:2023-06-09 11:51:00 , Open:18630.25 , High:18632.45 , Low:18628.5 , Close:18632.0
[INFO]: Candle:2023-06-09 11:52:00 , Open:18632.7 , High:18632.7 , Low:18629.3 , Close:18629.55
